image	tex	section	label	caption
Figures/cut_stuff/e_reco_low_delp.png	Sections/SignalBoxDistributions.tex		fig:signalbox-dist-\var	Distribution in GUMP signal box in SBND, ICARUS, and the near-far ratio.
Figures/cut_stuff/e_reco_med_delp.png	Sections/SignalBoxDistributions.tex		fig:signalbox-dist-\var	Distribution in GUMP signal box in SBND, ICARUS, and the near-far ratio.
Figures/cut_stuff/e_reco_hi_delp.png	Sections/SignalBoxDistributions.tex		fig:signalbox-dist-\var	Distribution in GUMP signal box in SBND, ICARUS, and the near-far ratio.
icarus_sce.png	Sections/Systematic Uncertainties.tex	Space Charge	fig:ICARUSSCE	ICARUS SCE variation from \docdb{47110}.
icarus_no_sce.png	Sections/Systematic Uncertainties.tex	Space Charge	fig:ICARUSSCE	ICARUS SCE variation from \docdb{47110}.
Figures/SCE-Detvar/SBNDSpaceChargeMeasurement.png	Sections/Systematic Uncertainties.tex	Space Charge	fig:SBNDSCEData	Comparison of the impact of space charge between SBND simulation and SBND data (in the two TPCs). From Lane Kashur, sbndcode PR 797.
Figures/Proton-Energy-Resolution/data_proton_Ereco_angularrecomb_qtip.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:proton-eres-nominal	Resolution of proton range versus energy reconstruction in ICARUS data (left) and MC (right). The data obtains a much worse resolution than is predicted by the simulation.
Figures/Proton-Energy-Resolution/mc_proton_Ereco_angularrecomb_qtip.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:proton-eres-nominal	Resolution of proton range versus energy reconstruction in ICARUS data (left) and MC (right). The data obtains a much worse resolution than is predicted by the simulation.
Figures/Proton-Energy-Resolution/mc_smear5pc_proton_Ereco_angularrecomb_qtip.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:proton-eres-variations	Resolution of proton range versus energy reconstruction in ICARUS MC, for four different additional values of additional smearing: 5, 10, 15 and 13\%. The 13\% smearing obtains a good match in the energy resolution to data (see Fig.~\ref{fig:proton-eres-nominal}).
Figures/Proton-Energy-Resolution/mc_smear10pc_proton_Ereco_angularrecomb_qtip.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:proton-eres-variations	Resolution of proton range versus energy reconstruction in ICARUS MC, for four different additional values of additional smearing: 5, 10, 15 and 13\%. The 13\% smearing obtains a good match in the energy resolution to data (see Fig.~\ref{fig:proton-eres-nominal}).
Figures/Proton-Energy-Resolution/mc_smear15pc_proton_Ereco_angularrecomb_qtip.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:proton-eres-variations	Resolution of proton range versus energy reconstruction in ICARUS MC, for four different additional values of additional smearing: 5, 10, 15 and 13\%. The 13\% smearing obtains a good match in the energy resolution to data (see Fig.~\ref{fig:proton-eres-nominal}).
Figures/Proton-Energy-Resolution/mc_smear13pc_proton_Ereco_angularrecomb_qtip.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:proton-eres-variations	Resolution of proton range versus energy reconstruction in ICARUS MC, for four different additional values of additional smearing: 5, 10, 15 and 13\%. The 13\% smearing obtains a good match in the energy resolution to data (see Fig.~\ref{fig:proton-eres-nominal}).
Figures/Signal-Box-Systematics/SBND_mu_chi2_of_mu_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:SBNDPIDDetvar	Impact of PID variations on particle ID variations in SBND. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/SBND_prot_chi2_of_mu_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:SBNDPIDDetvar	Impact of PID variations on particle ID variations in SBND. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/SBND_mu_chi2_of_prot_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:SBNDPIDDetvar	Impact of PID variations on particle ID variations in SBND. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/SBND_prot_chi2_of_prot_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:SBNDPIDDetvar	Impact of PID variations on particle ID variations in SBND. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/ICARUS_mu_chi2_of_mu_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:ICARUSPIDDetvar	Impact of PID variations on particle ID variations in ICARUS. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/ICARUS_prot_chi2_of_mu_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:ICARUSPIDDetvar	Impact of PID variations on particle ID variations in ICARUS. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/ICARUS_mu_chi2_of_prot_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:ICARUSPIDDetvar	Impact of PID variations on particle ID variations in ICARUS. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/Signal-Box-Systematics/ICARUS_prot_chi2_of_prot_cand_variations.pdf	Sections/Systematic Uncertainties.tex	Particle ID Variations	fig:ICARUSPIDDetvar	Impact of PID variations on particle ID variations in ICARUS. Shown for $\chi^2_\mu$ (left) and $\chi^2_p$ (right), across muon candidates (top) and proton candidates (bottom).
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_nosmear.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_smear1x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/ICARUS-Run4_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_dedx_smear2x.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID	Comparison of particle ID variables in a sample with a simple selection applied. Shown for \Detector. Shown with no $dE/dx$ smearing uncertainty (top), with the 13\% smearing uncertainty (middle), and with the $2\times$13\% smearing uncertainty (bottom)
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift0.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2mu	Comparisons between MC and data of the muon candidate $\chi^2_\mu$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift1.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2mu	Comparisons between MC and data of the muon candidate $\chi^2_\mu$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift2.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2mu	Comparisons between MC and data of the muon candidate $\chi^2_\mu$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift3.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2mu	Comparisons between MC and data of the muon candidate $\chi^2_\mu$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_mu_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift4.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2mu	Comparisons between MC and data of the muon candidate $\chi^2_\mu$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift0.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift0.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift1.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift1.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift2.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift2.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift3.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift3.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift4.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_mu_cand_bkdwnpdg_nominal_muthetadrift4.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-mucand-chi2p	Comparisons between MC and data of the muon candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_nominal_pthetadrift0.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-pcand-chi2p	Comparisons between MC and data of the proton candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_nominal_pthetadrift0.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-pcand-chi2p	Comparisons between MC and data of the proton candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/SBND_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_nominal_pthetadrift1.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-pcand-chi2p	Comparisons between MC and data of the proton candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
Figures/PID-MC-Data/ICARUS-Run2_nominal_simplecosrej_trkqual_nop_prot_chi2_of_prot_cand_bkdwnpdg_nominal_pthetadrift1.pdf	Sections/Systematic Uncertainties.tex	MC to Data Comparison PID Validation	fig:\Detector-MCData-PID-perangle-pcand-chi2p	Comparisons between MC and data of the proton candidate $\chi^2_p$ PID score. Shown for \Detector. Shown in quintiles of the muon angle to the drift direction.
